Change;r1v60_r1rv59;r1rv59r1rv58;r1v58_r1rv57;r1v57_r1rv56;r1v56_r1rv55;r1v55_r1rv54;r1v54_r1rv53;r1v53_r1rv52;r1v52_r1rv51;r1v51_r1rv50;r1v50_r1rv49
Move Method;0;0;8;3;0;1;0;0;0;5;4
Rename Method;2;7;22;19;13;6;0;6;1;41;18
Remove Method;30;19;120;237;21;70;13;65;32;273;282
Push Down Method;0;0;0;0;0;0;0;0;0;0;0
Inline Method;0;0;4;3;0;0;0;0;0;6;2
Change in Parameter List ;0;0;0;0;0;0;0;0;0;0;0
Change in Exception List;10;9;25;29;10;17;5;9;10;37;11
Change in Return Type Method;2;1;3;36;18;4;5;3;29;18;7
Lost Visibility;7;1;27;34;0;1;0;11;3;6;4
Add Final Modifier;0;0;0;3;0;1;0;0;0;3;0
Remove Static Modifier;0;0;1;0;0;0;0;0;0;0;0